Uso,Genero,Dias,Ida/Vuelta,Hora Cu-Cu2,Hora Cu2-Cu,Satisfaccion,Espera Cu-Cu2,Espera Cu2-Cu,Frecuencia parado
Si,Masculino,5,0,8,18,1,30,45,5
Si,Masculino,5,0,8,19,1,30,45,5
Si,Masculino,3,0,7,16,1,30,30,4
Si,Masculino,3,0,7,14,1,30,30,4
Si,Masculino,3,0,7,17,1,30,30,4
Si,Masculino,3,0,9,16,1,30,30,4
Si,Masculino,3,0,9,14,1,30,30,4
Si,Masculino,3,0,9,17,1,30,30,4
Si,Masculino,4,0,7,15,2,45,30,5
Si,Masculino,4,0,8,15,2,45,30,5
Si,Femenino,4,0,8,15,2,60,30,5
Si,Femenino,4,0,8,16,2,60,30,5
Si,Femenino,4,0,7,15,2,60,30,5
Si,Femenino,4,0,7,16,2,60,30,5
Si,Femenino,4,0,11,15,2,60,30,5
Si,Femenino,4,0,11,16,2,60,30,5
Si,Femenino,5,0,8,14,1,15,45,4
Si,Femenino,5,0,10,14,1,15,45,4
Si,Femenino,5,0,11,14,1,15,45,4
Si,Femenino,5,2,7,18,3,45,60,1
Si,Masculino,5,0,11,15,1,15,45,5
Si,Masculino,5,0,11,16,1,15,45,5
Si,Masculino,5,0,11,14,1,15,45,5
Si,Masculino,5,0,11,17,1,15,45,5
Si,Masculino,5,0,10,15,2,15,30,4
Si,Masculino,5,0,7,15,2,45,60,4
Si,Masculino,5,0,7,16,2,45,60,4
Si,Masculino,5,0,7,14,2,15,60,5
Si,Masculino,5,0,8,14,2,15,60,5
Si,Masculino,5,0,0,15,2,0,45,3
Si,Masculino,5,0,10,15,2,15,30,4
Si,Femenino,5,0,7,17,3,15,45,2
Si,Femenino,5,0,11,17,3,15,45,2
Si,Masculino,2,0,11,18,2,15,30,4
Si,Masculino,5,0,10,15,2,15,30,4
Si,Masculino,5,0,10,14,2,15,30,4
Si,Masculino,2,0,11,16,2,15,30,4
Si,Masculino,5,0,10,15,5,15,30,3
Si,Masculino,5,0,9,15,2,15,45,5
Si,Masculino,5,0,9,16,2,15,45,5
Si,Masculino,5,0,9,17,2,15,45,5
Si,Masculino,5,0,9,12,2,15,45,5
Si,Masculino,5,0,9,11,2,15,45,5
Si,Femenino,5,0,7,12,2,60,60,5
Si,Femenino,5,0,7,16,2,60,60,5
Si,Femenino,5,0,7,18,2,60,60,5
Si,Femenino,5,0,8,12,2,60,60,5
Si,Femenino,5,0,8,16,2,60,60,5
Si,Femenino,5,0,8,18,2,60,60,5
Si,Femenino,5,0,9,12,2,60,60,5
Si,Femenino,5,0,9,16,2,60,60,5
Si,Femenino,5,0,9,18,2,60,60,5
Si,Femenino,5,0,10,12,2,60,60,5
Si,Femenino,5,0,10,16,2,60,60,5
Si,Femenino,5,0,10,18,2,60,60,5
Si,Masculino,5,0,10,14,1,15,30,4
Si,Masculino,5,0,8,18,2,44,30,5
Si,Femenino,5,0,7,17,2,30,60,5
Si,Femenino,5,0,7,16,2,30,60,5
Si,Femenino,5,0,7,15,2,30,60,5
Si,Femenino,5,0,9,17,2,30,60,5
Si,Femenino,5,0,9,16,2,30,60,5
Si,Femenino,5,0,9,15,2,30,60,5
Si,S/G,5,0,8,12,2,15,60,5
Si,Masculino,5,0,7,15,3,30,30,4
Si,Masculino,5,0,7,14,3,30,30,4
Si,Masculino,5,0,7,14,1,30,30,3
Si,Masculino,5,0,8,14,1,30,30,3
Si,Masculino,5,0,10,16,2,15,45,3
Si,Masculino,5,0,10,18,2,15,45,3
Si,Masculino,5,0,10,18,2,15,60,4
Si,Femenino,5,2,7,16,1,60,45,5
Si,Femenino,5,2,7,17,1,60,45,5
Si,Femenino,5,2,8,16,1,60,45,5
Si,Femenino,5,2,8,17,1,60,45,5
Si,Femenino,5,0,7,16,1,15,45,4
Si,Masculino,5,0,7,18,3,30,45,5
Si,Femenino,5,2,10,18,2,15,60,5
Si,Femenino,5,0,0,18,2,0,30,2
Si,Femenino,5,0,0,17,2,0,30,2
Si,Femenino,5,0,10,14,2,15,45,5
Si,Femenino,5,0,7,15,1,30,45,3
Si,Femenino,5,0,7,16,1,30,45,3
Si,bbb,5,2,0,14,2,44,30,5
Si,bbb,5,2,9,14,2,44,30,5
Si,Masculino,4,0,8,16,3,30,60,4
Si,Masculino,4,0,10,16,3,30,60,4
Si,Masculino,4,0,11,16,3,30,60,4
Si,Masculino,5,0,7,16,2,30,30,4
Si,Masculino,5,0,7,14,2,30,30,4
Si,Masculino,5,0,7,15,2,30,30,4
Si,Femenino,4,0,7,15,2,0,0,2
Si,S/G,5,0,7,18,2,30,29,3
Si,S/G,5,0,8,18,2,30,29,3
Si,S/G,5,0,9,18,2,30,29,3
Si,Femenino,5,0,8,16,3,15,30,3
Si,Femenino,5,0,11,16,3,15,30,3
Si,Femenino,5,0,10,15,1,44,30,4
Si,Femenino,5,0,7,16,2,30,45,5
Si,Femenino,5,0,11,14,2,45,60,5
Si,Femenino,5,0,11,15,2,45,60,5
Si,Femenino,5,0,11,16,2,45,60,5
Si,Femenino,5,0,11,13,2,45,60,5
Si,Masculino,5,0,7,16,1,45,60,3
Si,Masculino,5,0,8,18,4,30,30,4
Si,Femenino,5,0,10,16,2,15,60,3
Si,Femenino,5,0,8,16,2,15,60,3
Si,Masculino,5,0,7,12,2,30,30,3
Si,Masculino,5,0,7,13,2,30,30,3
Si,Masculino,5,0,7,14,2,30,30,3
Si,Femenino,5,0,7,15,2,15,60,3
Si,Masculino,5,0,7,0,2,30,15,4
Si,Masculino,5,0,7,18,1,15,30,5
Si,Masculino,5,0,7,17,1,15,30,5
Si,Masculino,5,0,7,15,3,30,45,4
Si,Masculino,5,0,9,15,3,30,45,4
